row_id,date,country,store,product,num_sold,easter,newyear
0,2015-01-01,Finland,KaggleMart,Kaggle Mug,329,0,1
1,2015-01-01,Finland,KaggleMart,Kaggle Hat,520,0,1
2,2015-01-01,Finland,KaggleMart,Kaggle Sticker,146,0,1
3,2015-01-01,Finland,KaggleRama,Kaggle Mug,572,0,1
4,2015-01-01,Finland,KaggleRama,Kaggle Hat,911,0,1
5,2015-01-01,Finland,KaggleRama,Kaggle Sticker,283,0,1
6,2015-01-01,Norway,KaggleMart,Kaggle Mug,526,0,1
7,2015-01-01,Norway,KaggleMart,Kaggle Hat,906,0,1
8,2015-01-01,Norway,KaggleMart,Kaggle Sticker,250,0,1
9,2015-01-01,Norway,KaggleRama,Kaggle Mug,1005,0,1
10,2015-01-01,Norway,KaggleRama,Kaggle Hat,1461,0,1
11,2015-01-01,Norway,KaggleRama,Kaggle Sticker,395,0,1
12,2015-01-01,Sweden,KaggleMart,Kaggle Mug,440,0,1
13,2015-01-01,Sweden,KaggleMart,Kaggle Hat,624,0,1
14,2015-01-01,Sweden,KaggleMart,Kaggle Sticker,175,0,1
15,2015-01-01,Sweden,KaggleRama,Kaggle Mug,706,0,1
16,2015-01-01,Sweden,KaggleRama,Kaggle Hat,1195,0,1
17,2015-01-01,Sweden,KaggleRama,Kaggle Sticker,324,0,1
18,2015-01-02,Finland,KaggleMart,Kaggle Mug,318,0,1
19,2015-01-02,Finland,KaggleMart,Kaggle Hat,493,0,1
20,2015-01-02,Finland,KaggleMart,Kaggle Sticker,127,0,1
21,2015-01-02,Finland,KaggleRama,Kaggle Mug,544,0,1
22,2015-01-02,Finland,KaggleRama,Kaggle Hat,794,0,1
23,2015-01-02,Finland,KaggleRama,Kaggle Sticker,249,0,1
24,2015-01-02,Norway,KaggleMart,Kaggle Mug,538,0,1
25,2015-01-02,Norway,KaggleMart,Kaggle Hat,845,0,1
26,2015-01-02,Norway,KaggleMart,Kaggle Sticker,237,0,1
27,2015-01-02,Norway,KaggleRama,Kaggle Mug,949,0,1
28,2015-01-02,Norway,KaggleRama,Kaggle Hat,1446,0,1
29,2015-01-02,Norway,KaggleRama,Kaggle Sticker,415,0,1
30,2015-01-02,Sweden,KaggleMart,Kaggle Mug,384,0,1
31,2015-01-02,Sweden,KaggleMart,Kaggle Hat,572,0,1
32,2015-01-02,Sweden,KaggleMart,Kaggle Sticker,155,0,1
33,2015-01-02,Sweden,KaggleRama,Kaggle Mug,653,0,1
34,2015-01-02,Sweden,KaggleRama,Kaggle Hat,986,0,1
35,2015-01-02,Sweden,KaggleRama,Kaggle Sticker,293,0,1
36,2015-01-03,Finland,KaggleMart,Kaggle Mug,360,0,1
37,2015-01-03,Finland,KaggleMart,Kaggle Hat,535,0,1
38,2015-01-03,Finland,KaggleMart,Kaggle Sticker,141,0,1
39,2015-01-03,Finland,KaggleRama,Kaggle Mug,579,0,1
40,2015-01-03,Finland,KaggleRama,Kaggle Hat,843,0,1
41,2015-01-03,Finland,KaggleRama,Kaggle Sticker,265,0,1
42,2015-01-03,Norway,KaggleMart,Kaggle Mug,614,0,1
43,2015-01-03,Norway,KaggleMart,Kaggle Hat,930,0,1
44,2015-01-03,Norway,KaggleMart,Kaggle Sticker,254,0,1
45,2015-01-03,Norway,KaggleRama,Kaggle Mug,1029,0,1
46,2015-01-03,Norway,KaggleRama,Kaggle Hat,1631,0,1
47,2015-01-03,Norway,KaggleRama,Kaggle Sticker,451,0,1
48,2015-01-03,Sweden,KaggleMart,Kaggle Mug,420,0,1
49,2015-01-03,Sweden,KaggleMart,Kaggle Hat,630,0,1
50,2015-01-03,Sweden,KaggleMart,Kaggle Sticker,173,0,1
51,2015-01-03,Sweden,KaggleRama,Kaggle Mug,734,0,1
52,2015-01-03,Sweden,KaggleRama,Kaggle Hat,1167,0,1
53,2015-01-03,Sweden,KaggleRama,Kaggle Sticker,319,0,1
54,2015-01-04,Finland,KaggleMart,Kaggle Mug,332,0,1
55,2015-01-04,Finland,KaggleMart,Kaggle Hat,544,0,1
56,2015-01-04,Finland,KaggleMart,Kaggle Sticker,125,0,1
57,2015-01-04,Finland,KaggleRama,Kaggle Mug,582,0,1
58,2015-01-04,Finland,KaggleRama,Kaggle Hat,873,0,1
59,2015-01-04,Finland,KaggleRama,Kaggle Sticker,245,0,1
60,2015-01-04,Norway,KaggleMart,Kaggle Mug,589,0,1
61,2015-01-04,Norway,KaggleMart,Kaggle Hat,889,0,1
62,2015-01-04,Norway,KaggleMart,Kaggle Sticker,255,0,1
63,2015-01-04,Norway,KaggleRama,Kaggle Mug,957,0,1
64,2015-01-04,Norway,KaggleRama,Kaggle Hat,1540,0,1
65,2015-01-04,Norway,KaggleRama,Kaggle Sticker,455,0,1
66,2015-01-04,Sweden,KaggleMart,Kaggle Mug,406,0,1
67,2015-01-04,Sweden,KaggleMart,Kaggle Hat,697,0,1
68,2015-01-04,Sweden,KaggleMart,Kaggle Sticker,169,0,1
69,2015-01-04,Sweden,KaggleRama,Kaggle Mug,657,0,1
